#separator:tab
#html:true
#notetype:Basic
#deck:main
Bundle, Grothendieck fibration	Grothendieck fibration is a functor p: E → B that has a lifting property for morphisms, analogous to lifting paths in a topological space. The category E is the total category, and B is the base category.
Bundle, fiber of fibration	object B in the base category B, the fiber is the subcategory of the total category E whose objects map to B and whose morphisms map to the identity morphism of B.
Bundle, local triviality	categorical bundle is locally trivial if it can be "trivialized" by pulling back to a simpler form over a "local" part of the base category. This corresponds to the existence of cartesian sections.
Bundle, section of fibration	section of a fibration p: E → B is a functor s: B → E such that p∘s is the identity functor on B. Sections are the categorical analogs of continuous sections of a vector bundle.
Bundle, classifying space	base category of a categorical bundle can be seen as a kind of classifying space for the fibers. This generalizes the concept of a classifying space for a topological group.
Bundle, category of elements	category of elements is a category whose objects are pairs (B,X), where B is an object of B and X is an object of the category F(B). This construction provides a standard way to form a fibration.
Bundle, right fibration	functor is a right-fibration if it has a specific lifting property for all morphisms in the base category, in a "right" direction. This is a common type of categorical bundle.
Bundle, modules	module M over a ring R can be seen as a categorical bundle over the base category with a single object and one morphism, which represents the ring. The "fibers" are the elements of the module.
Bundle, sheaves	sheaf of modules on a topological space or a scheme can be interpreted as a categorical bundle over the category of open sets of the space. The fibers are the stalks of the sheaf.
Bundle, fibre functor	functor that sends a vector bundle to the module of its sections can be seen as a fiber functor that generalizes the idea of a fiber in a topological bundle.
Torsor, formalisation of twisting of Mobius strip	A vector bundle can be seen as a deformation of a trivial bundle. The transition functions measure how the bundle is "twisted" away from being a product. Imagine a perfectly straight, product bundle. A non-trivial vector bundle is like a Möbius strip, which is locally trivial but globally twisted. The torsor perspective formalizes this twisting.
Torsor, classifying space as a master list changing objects into morphisms from a master list	For a topological group G, there is a classifying space BG whose points classify the isomorphism classes of G-torsors. A classifying space is a "master list" of all possible torsors for a given group. Any torsor can be represented by a continuous map from the base space into the classifying space.
